name,description,url
Manolo Blahnik,Ellis suede loafers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/76/P00935025.jpg
Manolo Blahnik,Berwick leather desert boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d8/P00894019.jpg
Manolo Blahnik,Berwick leather desert boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6a/P00894031.jpg
Manolo Blahnik,Nadores suede slip-on shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3d/P00894009.jpg
Manolo Blahnik,Ellis leather loafers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/34/P00894018.jpg
Junya Watanabe,x Oakley suede slip-on sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0a/P00910590.jpg
Tom Ford,Logo velvet slides ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/4a/P00945616.jpg
Junya Watanabe,x New Balance URC42 leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ad/P00910589.jpg
Junya Watanabe,x New Balance URC42 leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/80/P00910588.jpg
Valentino Garavani,True Act low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a6/P00893257.jpg
Valentino Garavani,Rockstud M-Way leather loafers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3f/P00893255.jpg
Kenzo,Pace low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0b/P00882315.jpg
Acne Studios,Bars M suede-trimmed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6f/P00891867.jpg
Kenzo,Dome leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/58/P00882280.jpg
Acne Studios,Suede-trimmed leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/03/P00891868.jpg
Kenzo,Pace sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/bd/P00882282.jpg
Stone Island,S0101 suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/40/P00892954.jpg
Stone Island,S0101 suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/2a/P00892958.jpg
Kenzo,Kenzo Matto leather sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/94/P00882266.jpg
Kenzo,Kenzo Matto suede clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d4/P00882268.jpg
Acne Studios,Leather Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6b/P00891864.jpg
Kenzo,PXT leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/26/P00882310.jpg
Kenzo,Kenzo-Pace mesh sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e0/P00882314.jpg
Valentino Garavani,VLogo Signature leather mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/78/P00893270.jpg
Valentino Garavani,VLogo Signature leather mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/95/P00893272.jpg
Lemaire,Leather sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d3/P00883714.jpg
Valentino Garavani,Low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/b0/P00893259.jpg
Sacai,Pockets slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6e/P00892652.jpg
Kenzo,PXT leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/09/P00882305.jpg
Manolo Blahnik,Brompton suede Chelsea boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c8/P00894042.jpg
Kenzo,Dome leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0e/P00882270.jpg
Kenzo,Dome leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/75/P00882269.jpg
Thom Browne,Leather penny loafer mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ea/P00912406.jpg
Kenzo,Dome suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6e/P00882274.jpg
Brunello Cucinelli,Leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/79/P00895775.jpg
Kenzo,PXT leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/57/P00882307.jpg
Tom Ford,Barnes leather espadrilles,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/25/P00885379.jpg
Visvim,Skynyrd Ring leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/92/P00907971.jpg
Acne Studios,Leather low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/2a/P00882165.jpg
